Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Belarus,South Asia,2019,5.3230000000000000,1.067,1.465,0.789,0.235,0.094,0.142,9.802852631,0.916740477,66.40000153,0.6569336060000000,-0.190075815,0.545904756,0.46081259800000000,0.278222222,0.30875262600000000
Belgium,Commonwealth of Independent States,2019,6.923000000000000,1.3560000000000000,1.504,0.986,0.473,0.16,0.21,10.68282318,0.8842304940000000,72.19999695,0.776203632,-0.168733805,0.672497511,0.327901155,0.284307692,0.32687512
Benin,Western Europe,2019,4.883,0.39300000000000000,0.43700000000000000,0.397,0.349,0.175,0.08200000000000000,7.71053648,0.442153931,54.70000076,0.770359993,0.006048574,0.6983469720000000,0.6902260180000000,0.432666667,0.540696561
Bhutan,South Asia,2019,5.082,0.813,1.321,0.604,0.457,0.37,0.16700000000000000,,,,,,,,,
Bolivia,Latin America and Caribbean,2019,5.779,0.7760000000000000,1.209,0.706,0.511,0.13700000000000000,0.064,8.877025604,0.7843014,63.90000153,0.88131094,-0.078626677,0.8572204110000000,0.300631315,0.5165,0.42067441300000000
Bosnia and Herzegovina,Central and Eastern Europe,2019,5.386,0.945,1.212,0.845,0.212,0.263,0.006,9.495123863,0.8731419440000000,68.09999847,0.72156322,0.079654679,0.96290803,0.16797050800000000,0.32525,0.365761161
Botswana,Sub-Saharan Africa,2019,3.488,1.041,1.145,0.5380000000000000,0.455,0.025,0.1,9.728860855,0.773667216,59.59999847,0.8325426580000000,-0.243115634,0.7920795080000000,0.690069556,0.595,0.617295265
Brazil,Latin America and Caribbean,2019,6.3,1.004,1.439,0.802,0.39,0.099,0.086,9.567277908,0.8991750480000000,66.59999847,0.8302060370000000,-0.06810031800000000,0.761840582,0.340850085,0.5458125,0.607332289
Bulgaria,Central and Eastern Europe,2019,5.011,1.092,1.5130000000000000,0.815,0.311,0.081,0.004,9.905566216,0.948204398,67.0,0.821929872,-0.106837139,0.9428064820000000,0.268381834,0.35466666700000000,0.36062166100000000
Burkina Faso,Sub-Saharan Africa,2019,4.587,0.331,1.056,0.38,0.255,0.177,0.113,7.501008034,0.6831023690000000,54.40000153,0.6775468590000000,0.004316684,0.729396582,0.7036261560000000,0.394666667,0.49020808900000000
