Country,Region indicator,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,"Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Perceptions of corruption, 2015-2017"
Kazakhstan,Commonwealth of Independent States,2018,5.79,1.143,1.516,0.631,0.45400000000000000,0.14800000000000000,0.121,10.06666183,23544.83594,63.86494446,0.9252342580000000,0.755724132,0.314800054,0.723837793
Cyprus,Western Europe,2018,5.7620000000000000,1.229,1.1910000000000000,0.909,0.423,0.20200000000000000,0.035,10.34348869,31054.179690000000,72.60899353,0.792133808,0.7297756670000000,0.422272146,0.882088602
Bolivia,Latin America and Caribbean,2018,5.752000000000000,0.7510000000000000,1.2230000000000000,0.508,0.606,0.141,0.054000000000000000,8.809252739,6695.913574,59.99578857,0.8053370120000000,0.883693457,0.209027827,0.847298145
Estonia,Central and Eastern Europe,2018,5.739,1.2,1.5320000000000000,0.737,0.5530000000000000,0.086,0.174,10.251012800000000,28311.20117,67.19956207,0.931745052,0.8391595480000000,0.23236893100000000,0.625703633
Paraguay,Latin America and Caribbean,2018,5.681,0.835,1.5220000000000000,0.615,0.541,0.162,0.07400000000000000,9.077331543,8754.573242,63.35182571,0.927525759,0.8288514020000000,0.258835465,0.809968591
Peru,Latin America and Caribbean,2018,5.663000000000000,0.934,1.249,0.674,0.53,0.092,0.034,9.395082474,12029.08203,65.20940399,0.8159274460000000,0.8199674490000000,0.175812826,0.88358295
Kosovo,Central and Eastern Europe,2018,5.662000000000000,0.855,1.23,0.578,0.44800000000000000,0.27400000000000000,0.023,9.14228344,9342.073242,,0.8080847260000000,0.751152515,0.429290354,0.904268086
Moldova,Commonwealth of Independent States,2018,5.64,0.657,1.301,0.62,0.23200000000000000,0.171,0.0,8.50574398,4943.080566,63.51566315,0.8370601530000000,0.569458485,0.22820942100000000,0.946051538
Turkmenistan,Commonwealth of Independent States,2018,5.636,1.016,1.5330000000000000,0.517,0.41700000000000000,0.19900000000000000,0.037000000000000000,9.658661842,15656.81934,60.25896454,0.931915939,0.724600852,0.361354798,
Hungary,Central and Eastern Europe,2018,5.62,1.171,1.401,0.732,0.259,0.061,0.022000000000000000,10.15791893,25794.56055,67.01953888,0.878176928,0.592039645,0.18614788400000000,0.90556103
Libya,Middle East and North Africa,2018,5.566,0.985,1.35,0.5530000000000000,0.496,0.11600000000000000,0.14800000000000000,9.560900688,14198.62891,61.38998795,0.857142568,0.791323543,0.24540957800000000,0.673075855
Philippines,Southeast Asia,2018,5.524,0.775,1.3120000000000000,0.513,0.643,0.12,0.105,8.887071609,7237.792969,60.12985229,0.8418320420000000,0.914903224,0.179394484,0.752503037
Honduras,Latin America and Caribbean,2018,5.504,0.62,1.205,0.622,0.45900000000000000,0.19700000000000000,0.07400000000000000,8.386997223,4389.616699,63.58446121,0.7980360390000000,0.7599447970000000,0.260578573,0.8108274940000000
Belarus,Commonwealth of Independent States,2018,5.483,1.0390000000000000,1.4980000000000000,0.7,0.307,0.10100000000000000,0.154,9.733157158,16867.72266,66.03050995,0.917586327,0.632646799,0.217487231,0.661701798
Turkey,Middle East and North Africa,2018,5.483,1.148,1.38,0.6860000000000000,0.324,0.106,0.109,10.08501816,23981.02539,65.5740509,0.8696483970000000,0.646940053,0.251631469,0.745847404
Pakistan,South Asia,2018,5.472,0.652,0.81,0.424,0.33400000000000000,0.21600000000000000,0.113,8.492357254,4877.349609000000,57.33160782,0.636363983,0.655409873,0.298179924,0.7375201580000000
"Hong Kong SAR, China",,2018,5.43,1.405,1.29,1.03,0.524,0.24600000000000000,0.29100000000000000,,,,,,,
Portugal,Western Europe,2018,5.41,1.188,1.429,0.884,0.562,0.055,0.017,10.21084213,27196.460940000000,71.80517578,0.889680147,0.84693563,0.18234050300000000,0.915970087
Serbia,Central and Eastern Europe,2018,5.398,0.975,1.369,0.685,0.28800000000000000,0.134,0.043,9.527345657,13730.09863,65.5536499,0.86507827,0.616313636,0.250889659,0.867465258
Greece,Western Europe,2018,5.358,1.1540000000000000,1.202,0.879,0.131,0.0,0.044000000000000000,10.10256386,24405.50195,71.64774323,0.7966962460000000,0.484304935,0.08699452100000000,0.8645727040000000
Tajikistan,Commonwealth of Independent States,2018,5.352,0.474,1.179,0.598,0.503,0.214,0.136,7.91971159,2750.977539,62.81214523,0.78732276,0.79769361,0.25016215400000000,0.696459174
