Country,Region,year,score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Trust in national government,Democratic Quality 2012
Malaysia,Southeast Asia,2015,5.769999981,10.02445984,0.83605814,64.87776184,0.819335401,0.123845533,0.799506307,2.098976374,1.885408401,1.124861717,1.070231795,0.723937571,0.530239403,0.330752313,0.105006106,0.718923748,-0.171654016
Mali,Sub-Saharan Africa,2015,3.994999886,7.375196457,0.821398139,46.15608597,0.684941113,-0.05748361,0.770213306,2.098976374,1.792929888,0.260744989,1.035262465,0.205829322,0.388574958,0.187981814,0.123517446,0.545822263,-1.262135506
Malta,Western Europe,2015,6.302000046,10.27751255,0.933232605,70.77765656,0.888978839,0.361050367,0.750689387,2.098976374,1.648795605,1.207400441,1.302027583,0.887212753,0.603650272,0.517516792,0.135855347,0.651447892,1.091978312
Mauritania,Sub-Saharan Africa,2015,4.43599987,7.967893124,0.75172925,51.68142319,0.546195149,-0.018092966,0.689360321,2.098976374,2.117734194,0.454066306,0.869077206,0.358738869,0.242323428,0.218996257,0.174611479,0.420158863,-1.03433764
Mauritius,Sub-Saharan Africa,2015,5.477000237,9.66497612,0.800414801,64.35600281,0.848193765,0.183148637,0.846660137,2.098976374,1.761445522,1.007608056,0.985209644,0.709498286,0.560658872,0.377444923,0.075207837,0.666962504,0.910250843
Mexico,Latin America and Caribbean,2015,7.186999798,9.704608917,0.770774841,68.1481781,0.773391962,-0.117483959,0.628418803,2.098976374,3.602143288,1.020535111,0.914507747,0.814443886,0.481810629,0.140740216,0.213122711,0.360688418,-0.289740771
Moldova,Commonwealth of Independent States,2015,5.888999939,8.398367882,0.813019156,61.05904007,0.627644598,-0.030135214,0.940116942,2.098976374,3.107121944,0.594475329,1.015275598,0.618257344,0.328178942,0.209514722,0.016148983,0.17703855,-0.031471893
Mongolia,East Asia,2015,4.874000072,9.114892006,0.932632506,60.49633408,0.730179667,0.125812963,0.923489034,2.098976374,1.347594738,0.828185737,1.300596118,0.602684855,0.43626073,0.332301378,0.026656779,0.337084681,0.234245032
Montenegro,Central and Eastern Europe,2015,5.191999912,9.563103676,0.767028749,64.92379761,0.489533782,-0.091248989,0.739453733,2.098976374,2.100166321,0.974380016,0.905571997,0.72521162,0.182596922,0.161396459,0.142955571,0.384199589,0.393985897
Morocco,Middle East and North Africa,2015,5.013000011,8.828556061,0.656091809,60.74400711,0.711826742,-0.205148399,0.830441535,2.098976374,2.453725338,0.734790862,0.6409477,0.609539032,0.416914999,0.071717143,0.085456975,0.482435107,-0.532941461
Mozambique,Sub-Saharan Africa,2015,4.971000195,6.830506802,0.817624569,42.01796722,0.639206827,-0.013400467,0.718758941,2.098976374,3.051367521,0.083082244,1.026261091,0.091310002,0.340366632,0.22269091,0.156033382,0.629928231,0.082695656
Myanmar,Southeast Asia,2015,4.30700016,7.406867981,0.684642136,56.15213013,0.733888984,0.714598596,0.664478242,2.098976374,1.418045759,0.271075368,0.709050477,0.482462317,0.440170705,0.795884907,0.190335393,,-1.304139256
Nepal,South Asia,2015,4.513999939,7.679401398,0.749808073,59.26979446,0.6794855,0.113942973,0.872201622,2.098976374,1.956372499,0.359968245,0.864494503,0.568741322,0.382824212,0.322955459,0.059067216,0.480544895,-1.040697694
Netherlands,Western Europe,2015,7.377999783,10.6516819,0.924070656,70.98093414,0.900468528,0.308452934,0.462236613,2.098976374,2.465703487,1.32944417,1.280173063,0.892838299,0.615761518,0.476103932,0.318139434,0.541644931,1.399068236
New Zealand,North America and ANZ,2015,7.285999775,10.40868282,0.940630615,71.54219055,0.922872722,0.307063699,0.286465794,2.098976374,2.264252186,1.250184655,1.319674492,0.908370614,0.639377654,0.475010067,0.42921564,0.613678098,1.499216437
Nicaragua,Latin America and Caribbean,2015,5.828000069,8.394598007,0.866077125,65.5717926,0.842583954,0.057038266,0.659991443,2.098976374,2.324071884,0.593245685,1.141837716,0.743144393,0.554745615,0.278151244,0.193170771,0.587420702,-0.447513133
Niger,Sub-Saharan Africa,2015,3.845000029,6.788557053,0.711303651,49.45306396,0.768748879,-0.050010554,0.71819222,2.098976374,1.878767729,0.069399394,0.772647679,0.297070712,0.476916373,0.193865761,0.156391516,0.583322108,-0.783948421
Nigeria,Sub-Saharan Africa,2015,5.268000126,8.581940651,0.766502976,44.5024147,0.642027199,0.049648058,0.901891947,2.098976374,2.893194675,0.654351711,0.904317796,0.160065219,0.343339592,0.272332489,0.040304787,0.304238051,-1.39038527
North Cyprus,Western Europe,2015,5.695000172,10.27952957,0.835996509,72.09121704,0.781416118,0.036134291,0.739694595,2.098976374,1.598880768,1.208058357,1.070084691,0.923564553,0.490268856,0.261692375,0.142803371,0.409239709,
Norway,Western Europe,2015,7.521999836,11.04887199,0.945359468,70.7052536,0.951669097,0.144467577,0.388028592,2.098976374,2.465311527,1.458996654,1.330954552,0.885209024,0.669731796,0.346989155,0.365034252,0.688396156,1.531618357
Oman,Middle East and North Africa,2015,6.853000164,10.74571037,0.840915978,66.28063202,0.916573584,-0.022635838,0.450995088,2.098976374,2.474887371,1.36011374,1.081819415,0.762760997,0.632737756,0.215419382,0.325243384,,-0.24682039
Pakistan,South Asia,2015,5.193999767,8.401280403,0.56099695,57.31555939,0.431113124,0.131411329,0.800080299,2.098976374,3.107092142,0.595425308,0.414112478,0.514659345,0.121015951,0.336709261,0.104643382,0.284734488,-1.774926782
Palestinian Territories,Middle East and North Africa,2015,4.715000153,8.411239624,0.775415063,62.57299042,0.548720658,-0.153341115,0.761463284,2.098976374,2.043837547,0.598673701,0.925576329,0.66015476,0.244985551,0.112507887,0.129046917,0.460024685,-1.478409171
Panama,Latin America and Caribbean,2015,6.785999775,9.836421013,0.889832795,67.50363922,0.830590904,0.014091259,0.818980873,2.098976374,2.848477125,1.063528538,1.198503494,0.796606779,0.542103767,0.244336665,0.092699401,0.406445265,0.149474084
Paraguay,Latin America and Caribbean,2015,5.877999783,8.90537262,0.934382915,62.60280609,0.827634394,0.13863562,0.835253954,2.098976374,2.188957214,0.75984627,1.304771543,0.660979927,0.538987339,0.342397332,0.082415827,0.332951516,-0.496061146
Peru,Latin America and Caribbean,2015,5.823999882,9.335644722,0.795961261,65.10280609,0.709970593,-0.105952635,0.870894253,2.098976374,2.594502926,0.900189161,0.974586368,0.730165541,0.414958417,0.149819463,0.059893392,0.244209155,-0.396575153
Philippines,Southeast Asia,2015,5.072999954,8.7382164,0.821355104,59.71776581,0.909655869,0.02117095,0.771370053,2.098976374,1.753595352,0.705324531,1.035159707,0.581138611,0.625445843,0.249910891,0.122786455,0.738707185,-0.600965619
Poland,Central and Eastern Europe,2015,5.790999889,10.02656937,0.923779786,66.8685379,0.820261478,-0.083380409,0.899024069,2.098976374,1.86564827,1.125549793,1.279479265,0.7790308,0.531215608,0.16759184,0.042117108,0.228005648,1.042865515
Portugal,Western Europe,2015,5.102000237,10.13191414,0.865035653,70.34319305,0.804582655,-0.12198893,0.948616803,2.098976374,1.264621019,1.159910321,1.139353514,0.875189304,0.514688611,0.137193203,0.010777602,0.215936482,0.870967746
Qatar,Middle East and North Africa,2015,6.611000061,11.75836945,0.839567304,67.52985382,0.923838317,0.117468558,0.139517799,2.098976374,1.556744576,1.690415144,1.078602314,0.797332227,0.640395522,0.325731337,0.52207756,,0.210745424
Romania,Central and Eastern Europe,2015,5.124000072,9.774851799,0.758771718,66.50250244,0.648988664,-0.121627659,0.955407202,2.098976374,1.931293011,1.043446422,0.885876,0.76890105,0.350677639,0.137477651,0.006486494,0.238146275,0.185191035
Russia,Commonwealth of Independent States,2015,5.71600008,10.06364918,0.905622959,62.90205765,0.664272606,-0.293708861,0.91811955,2.098976374,2.273941517,1.137644172,1.236168742,0.669261456,0.366788387,0.00198859,0.030049957,0.487205654,-0.893091917
Rwanda,Sub-Saharan Africa,2015,3.464999914,7.256647587,0.711745381,54.20740128,0.877933145,-0.008843509,0.092307568,2.098976374,0.670418262,0.222077623,0.77370137,0.428643405,0.592007041,0.226278856,0.551911473,,-0.724871039
Saudi Arabia,Middle East and North Africa,2015,6.410999775,10.85392475,0.841798723,64.74455261,0.61085403,-0.122162804,0.450995088,2.098976374,2.438715458,1.395410299,1.083925128,0.720251143,0.310480088,0.137056306,0.325243384,,-1.128825068
Senegal,Sub-Saharan Africa,2015,3.904000044,7.69475174,0.796631932,54.45160294,0.665155351,-0.031519197,0.796140671,2.098976374,1.443947315,0.364975125,0.976186156,0.435401499,0.367718875,0.20842503,0.107132979,0.641851306,-0.077972926
Serbia,Central and Eastern Europe,2015,5.123000145,9.398003578,0.810658693,65.76023865,0.507057428,-0.051987793,0.924258709,2.098976374,2.024996996,0.920528889,1.009644985,0.748359501,0.201068521,0.192308962,0.026170393,0.336278588,-0.02889671
Sierra Leone,Sub-Saharan Africa,2015,4.506999969,7.588256359,0.788047135,38.71850967,0.703749299,-0.023317855,0.826642513,2.098976374,2.510089874,0.330239266,0.955708325,0,0.408400595,0.214882419,0.087857723,0.570136428,-0.313446999
Singapore,Southeast Asia,2015,6.797999859,11.24159908,0.815000594,75.7654953,0.830982327,0.098820552,0.186955884,2.098976374,1.885012627,1.521858931,1.020002007,1.025247455,0.54251641,0.311048716,0.492099643,0.850019157,0.712401509
