Country,Region,year,score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Trust in national government,Democratic Quality 2012
Slovakia,Central and Eastern Europe,2015,5.994999886,10.15950203,0.91980046,67.22956085,0.617524445,-0.081683077,0.911380172,2.098976374,2.246385336,1.168908715,1.269987106,0.78902185,0.31751135,0.168928236,0.034308821,0.321967334,1.01233995
Slovenia,Central and Eastern Europe,2015,5.84800005,10.20876789,0.921418846,70.27749634,0.893630147,0.025451683,0.905746996,2.098976374,1.61582613,1.184977889,1.27384758,0.873371184,0.608553171,0.253281355,0.037868638,0.189357236,0.946266294
Somaliland region,Sub-Saharan Africa,2015,5.05700016,7.153598785,0.786291242,54.5717392,0.758219004,0.342846304,0.333831728,2.098976374,2.110318422,0.188465938,0.951519907,0.438726187,0.465816885,0.503183722,0.39928329,0.651241541,
South Africa,Sub-Saharan Africa,2015,4.642000198,9.397891998,0.884039044,48.72331238,0.631331921,-0.144167513,0.825083375,2.098976374,1.719561338,0.92049253,1.184683323,0.276875377,0.332065731,0.119730778,0.088842995,0.45383352,0.277679682
South Korea,East Asia,2015,5.984000206,10.39157867,0.78889966,73.60205841,0.631349921,-0.060552526,0.84134084,2.098976374,2.21977663,1.24460578,0.957741916,0.9653759,0.332084715,0.185565487,0.0785693,0.304554343,0.428451836
Spain,Western Europe,2015,6.328999996,10.3471508,0.938162684,73.24969482,0.752232015,-0.064734504,0.864422679,2.098976374,2.123666286,1.230114579,1.31378758,0.955624521,0.459506005,0.182272777,0.063983023,0.256616503,0.513819337
Sri Lanka,South Asia,2015,4.270999908,9.136509895,0.814602375,64.30414581,0.825997412,0.222307697,0.820427418,2.098976374,0.671078682,0.835236907,1.019052029,0.708063185,0.537261784,0.408277005,0.091785274,0.770167053,-0.652181268
Sudan,Sub-Saharan Africa,2015,4.550000191,8.173327446,0.812500715,52.04427719,0.411947906,-0.054138005,0.733679295,2.098976374,2.208571911,0.521073341,1.01403892,0.368780583,0.100813977,0.190615997,0.146604657,,-2.025205135
Suriname,Latin America and Caribbean,2015,6.269000053,9.627368927,0.794875681,60.69547653,0.882264674,-0.080438085,0.749934435,2.098976374,2.790938377,0.995341539,0.971996844,0.60819602,0.596572876,0.169908494,0.136332422,0.715652525,0.179463536
Swaziland,Sub-Saharan Africa,2015,4.867000103,8.758875847,0.837149739,41.45229721,0.60715723,-0.064330176,0.917250097,2.098976374,2.486763239,0.712063074,1.072835565,0.075655513,0.306583285,0.182591125,0.030599397,0.353280842,-0.807690859
Sweden,Western Europe,2015,7.363999844,10.65862274,0.927800655,71.63234711,0.942244232,0.164319962,0.271875322,2.098976374,2.371190548,1.331708074,1.289070487,0.910865664,0.659797072,0.362620056,0.438435882,0.583863556,1.436961174
Switzerland,Western Europe,2015,7.586999893,10.85728264,0.953136325,72.73686218,0.947723985,0.080692194,0.301402122,2.098976374,2.517383099,1.396505475,1.349505067,0.941432297,0.665573299,0.296775281,0.419776797,0.758918643,1.53458786
Syria,Middle East and North Africa,2015,3.006000042,8.609065056,0.586476564,64.80529022,0.465099275,0.302973658,0.666497231,2.098976374,0.328578949,0.663198888,0.474890471,0.721931994,0.156840608,0.471789777,0.189059526,,-2.238293409
Taiwan,East Asia,2015,6.297999859,10.53376865,0.83854872,70.34708405,0.693315268,0.026056159,0.83703351,2.098976374,2.323225021,1.290984154,1.076172709,0.87529695,0.397402108,0.253757298,0.081291258,0.285762876,0.851959825
Tajikistan,Commonwealth of Independent States,2015,4.785999775,7.772919655,0.746090591,59.45213318,0.764237046,-0.004448545,0.727163494,2.098976374,2.113991737,0.390471339,0.855627,0.573787391,0.472160459,0.229739264,0.150722235,,-1.267594695
Tanzania,Sub-Saharan Africa,2015,3.780999899,7.450170517,0.80773747,52.52743912,0.628215134,0.140382797,0.874734104,2.098976374,1.380794525,0.285199463,1.002676845,0.382151723,0.328780353,0.343772978,0.057466846,0.525946498,-0.0979895
Thailand,Southeast Asia,2015,6.454999924,9.540180206,0.917728543,65.40387726,0.844383955,0.4357149,0.915240169,2.098976374,2.319449425,0.966903031,1.265044808,0.738497436,0.556643009,0.576304317,0.031869546,0.658236682,-0.773781657
Togo,Sub-Saharan Africa,2015,2.838999987,7.215558529,0.446059346,48.99629974,0.662128508,-0.08437521,0.795855284,2.098976374,1.567257762,0.208675504,0.139945194,0.284430087,0.364528298,0.166808575,0.107313327,0.47497353,-0.718648493
Trinidad and Tobago,Latin America and Caribbean,2015,6.168000221,10.29110622,0.883561075,60.93527985,0.846471548,0.108202524,0.947631657,2.098976374,2.268817663,1.211834431,1.183543205,0.614832401,0.558843493,0.318435669,0.011400152,0.383907169,0.279793829
Tunisia,Middle East and North Africa,2015,4.738999844,9.277225494,0.640722752,65.38324738,0.565508366,-0.214552879,0.865064383,2.098976374,2.124655485,0.88113445,0.604287028,0.737926543,0.262681395,0.06431248,0.063577503,0.395979494,-0.46040386
Turkey,Middle East and North Africa,2015,5.331999779,9.828620911,0.784110665,65.15909576,0.532750309,-0.140608296,0.716508508,2.098976374,2.085283756,1.060984373,0.946318448,0.731723309,0.228151277,0.122533143,0.157455519,0.54300797,-0.716520965
Turkmenistan,Commonwealth of Independent States,2015,5.547999859,9.514340401,0.901644766,58.18998337,0.767969668,-0.080590613,0.477589399,2.098976374,1.86983633,0.958474755,1.226679325,0.538858354,0.476095021,0.16978839,0.308437437,,-0.929446995
Uganda,Sub-Saharan Africa,2015,3.930999994,7.222754955,0.862366378,50.9541893,0.750114858,0.072929263,0.850681484,2.098976374,1.427662849,0.211022779,1.132986307,0.338613212,0.457274318,0.290663093,0.072666593,0.518237293,-0.691686511
Ukraine,Commonwealth of Independent States,2015,4.681000233,9.025622368,0.891627014,63.06974411,0.554642737,-0.102233365,0.918812096,2.098976374,1.571398735,0.799068451,1.202783346,0.673902035,0.251228005,0.152747855,0.029612312,0.225078359,-0.193591535
United Arab Emirates,Middle East and North Africa,2015,6.901000023,10.95158863,0.859333575,67.96046448,0.924950719,0.039416384,0.355115891,2.098976374,2.247431755,1.427265525,1.125751972,0.809249043,0.641568065,0.264276534,0.385833055,,-0.058939811
