Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Confidence in national government,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Estonia,Central and Eastern Europe,2017,5.611000000000000,1.321,1.4770000000000000,0.695,0.479,0.099,0.183,10.2858448,0.93568635,67.28438568,0.861749232,-0.109588325,0.668402255,0.805217981,0.405946255,0.33300000000000000,0.396599621
Ethiopia,Sub-Saharan Africa,2017,4.46,0.33900000000000000,0.865,0.353,0.409,0.313,0.165,7.43928194,0.73353976,56.72826767,0.717101216,0.011871224,0.75689894,0.608514786,0.768354297,0.315,0.420267493
Finland,Western Europe ,2017,7.469000000000000,1.444,1.54,0.809,0.618,0.245,0.38300000000000000,10.61233807,0.963826418,71.69696045,0.962198973,-0.012173655,0.19241277900000000,0.787137091,0.59753859,0.275909091,0.42561444600000000
France,Western Europe,2017,6.442,1.431,1.3880000000000000,0.8440000000000000,0.47,0.13,0.17300000000000000,10.56077385,0.931494594,72.58893585,0.83389014,-0.133584961,0.601486027,0.762097776,0.37479353,0.3203,0.37285524600000000
Gabon,Sub-Saharan Africa,2017,4.465,1.198,1.156,0.35700000000000000,0.312,0.044000000000000000,0.076,9.715631485,0.806941152,57.12616730000000,0.652359545,-0.2508322,0.8683055040000000,0.634047151,0.286989242,0.42200000000000000,0.58923018
Georgia,Commonwealth of Independent States,2017,4.2860000000000000,0.951,0.5710000000000000,0.65,0.309,0.054000000000000000,0.252,9.1690979,0.590495169,64.34745026,0.820908785,-0.231422603,0.589631975,0.5811277030000000,0.29639622600000000,0.4034375,0.454276502
Germany,Western Europe ,2017,6.9510000000000000,1.4880000000000000,1.473,0.799,0.563,0.336,0.27700000000000000,10.71118355,0.8921660780000000,71.07910156,0.8407278660000000,0.135307536,0.414021194,0.7365657090000000,0.622935653,0.311571429,0.319597334
Ghana,Sub-Saharan Africa,2017,4.12,0.667,0.8740000000000000,0.29600000000000000,0.423,0.257,0.025,8.326971054,0.669111073,54.865890500000000,0.783046365,0.08499047900000000,0.8386099930000000,0.702511728,0.670288563,0.425,0.50120151
Greece,Western Europe,2017,5.227,1.2890000000000000,1.239,0.81,0.096,0.0,0.043,10.11751747,0.7528995280000000,71.7803421,0.43830001400000000,-0.296734989,0.87223947,0.60293901,0.139880896,0.346909091,0.34670594300000000
Guatemala,Latin America and Caribbean,2017,6.454,0.872,1.256,0.54,0.531,0.28300000000000000,0.077,8.918908119,0.826492071,63.38197708,0.914521694,-0.061728600000000000,0.7997478840000000,0.845865786,0.458623856,0.52675,0.495318562
Guinea,Sub-Saharan Africa,2017,3.5070000000000000,0.245,0.7910000000000000,0.19400000000000000,0.349,0.265,0.111,7.527477264,0.634025574,51.15181732,0.7382128240000000,0.054307584000000000,0.7500262260000000,0.704477131,0.639980793,0.387,0.618353307
Haiti,Latin America and Caribbean,2017,3.603,0.369,0.64,0.27700000000000000,0.03,0.489,0.1,7.403176308,0.646984994,53.34700775,0.484429151,0.384510309,0.647191584,0.5733667020000000,0.435076952,0.409,0.5744730230000000
Honduras,Latin America and Caribbean,2017,5.181,0.731,1.1440000000000000,0.583,0.348,0.23600000000000000,0.073,8.404379845,0.84335494,63.75267029,0.898377419,0.080074072,0.783429444,0.842200935,0.495585024,0.5556,0.561559021
