Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Confidence in national government,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Qatar,Middle East and North Africa,2017,6.375,1.871,1.274,0.71,0.604,0.33,0.439,,,,,,,,,,
Romania,Central and Eastern Europe,2017,5.825,1.218,1.15,0.685,0.457,0.134,0.004,10.02889156,0.8112401370000000,66.85708618,0.838586688,-0.164420739,0.925658047,0.7337303760000000,0.29834133400000000,0.290928571,0.4121176
Russia,Commonwealth of Independent States,2017,5.963000000000000,1.2820000000000000,1.469,0.547,0.374,0.052000000000000000,0.033,10.10368347,0.8961513040000000,62.97878265,0.73087424,-0.158567786,0.861590207,0.7102302310000000,0.556597233,0.39925,0.377679735
Rwanda,Sub-Saharan Africa,2017,3.471,0.369,0.946,0.326,0.5820000000000000,0.253,0.455,,,,,,,,,,
Saudi Arabia,Middle East and North Africa,2017,6.344000000000000,1.531,1.287,0.59,0.45,0.14800000000000000,0.273,10.81198788,0.8400862810000000,64.08374023,0.8141421680000000,-0.156905413,,0.7748757,,,0.451889485
Senegal,Sub-Saharan Africa,2017,4.535,0.479,1.18,0.409,0.37800000000000000,0.183,0.115,7.811985493,0.743759334,57.98087692,0.6869370340000000,-0.029066099000000000,0.8252418640000000,0.7457320690000000,0.61072278,0.40233333300000000,0.43669450300000000
Serbia,Central and Eastern Europe,2017,5.395,1.069,1.258,0.6510000000000000,0.209,0.22,0.041000000000000000,9.561537743000000,0.8837704060000000,65.68487549,0.684846342,-0.081415586,0.8514578340000000,0.50972122,0.5111979840000000,0.3059,0.36612975600000000
Sierra Leone,Sub-Saharan Africa,2017,4.709,0.368,0.9840000000000000,0.006,0.319,0.293,0.071,7.253018379000000,0.652287126,44.38652802,0.7106135490000000,0.08922568,0.8483983280000000,0.6003682020000000,0.73751694,0.371,0.5835860970000000
Singapore,Southeast Asia,2017,6.572,1.692,1.354,0.9490000000000000,0.55,0.34600000000000000,0.46400000000000000,11.31704998,0.8973498940000000,75.81240082,0.926127851,0.12041155200000000,0.161790684,0.800114393,0.92699796,,0.564909577
Slovakia,Central and Eastern Europe,2017,6.098,1.325,1.505,0.713,0.29600000000000000,0.13700000000000000,0.024,10.31394196,0.9133866430000000,68.77391052,0.7142246960000000,-0.072076842,0.920422673,0.788020432,0.34168008,0.267454545,0.292588055
Slovenia,Central and Eastern Europe,2017,5.758000000000000,1.341,1.453,0.7910000000000000,0.573,0.243,0.045,10.35351658,0.928187847,70.94329071,0.920862675,-0.033475116,0.8287947180000000,0.615109682,0.23977972600000000,0.24909090900000000,0.359244138
Somalia,Sub-Saharan Africa,2017,5.151,0.023,0.721,0.114,0.602,0.292,0.282,,,,,,,,,,
South Africa,Sub-Saharan Africa,2017,4.829,1.055,1.385,0.187,0.479,0.139,0.073,9.405202866,0.870313287,55.22930908,0.787427902,-0.139256224,0.864781916,0.784800708,0.423274219,0.6225,0.565037489
South Korea,East Asia,2017,5.838000000000000,1.402,1.128,0.9,0.258,0.207,0.063,10.48973465,0.8069299460000000,74.04169464,0.538113713,0.0033545940000000000,0.8506904240000000,0.623377562,0.358582199,0.319,0.393612236
South Sudan,Middle East and North Africa,2017,3.591,0.397,0.601,0.163,0.147,0.28600000000000000,0.11700000000000000,,0.556822658,50.02017212,0.45601108700000000,,0.7612696290000000,0.585602164,0.461550504,0.46300000000000000,0.7030075790000000
Spain,Western Europe,2017,6.403,1.3840000000000000,1.5320000000000000,0.889,0.409,0.19,0.071,10.44522285,0.9031581880000000,74.49821472,0.755560756,-0.042156253,0.791268766,0.6250556110000000,0.269585967,0.344545455,0.378949553
Sri Lanka,South Asia,2017,4.44,1.01,1.26,0.625,0.561,0.491,0.07400000000000000,9.377954483,0.8227705960000000,65.29253387,0.827077389,0.084577233,0.8442100290000000,0.7949516180000000,0.5175899270000000,0.39225,0.427296966
Sudan,Middle East and North Africa,2017,4.139000000000000,0.66,1.214,0.29100000000000000,0.015,0.182,0.09,,,,,,,,,,
Sweden,Western Europe ,2017,7.284,1.494,1.4780000000000000,0.831,0.613,0.385,0.384,10.77040577,0.914016783,73.00654602,0.934582114,0.155486837,0.23936691900000000,0.81354779,0.5594619510000000,0.267454545,0.346856117
Switzerland,Western Europe ,2017,7.494,1.565,1.517,0.858,0.62,0.29100000000000000,0.36700000000000000,10.95554829,0.9496613740000000,73.17375946,0.924996912,0.16787466400000000,0.316183478,0.773997068,0.8197067380000000,0.32757142900000000,0.29581779200000000
Syria,Middle East and North Africa,2017,3.4620000000000000,0.777,0.396,0.501,0.08200000000000000,0.494,0.151,,,,,,,,,,
Taiwan,East Asia,2017,6.422000000000000,1.4340000000000000,1.385,0.794,0.361,0.258,0.064,,0.891119123,71.20999908,0.75965476,,0.742780089,0.837277293,0.322822392,,0.381671965
Tajikistan,Commonwealth of Independent States,2017,5.041,0.525,1.271,0.529,0.47200000000000000,0.249,0.146,7.956589699000000,0.6626933220000000,62.97124863,0.832002461,0.12493618600000000,0.71833688,0.602667689,0.92979306,0.31875,0.367954314
Tanzania,Sub-Saharan Africa,2017,3.3490000000000000,0.511,1.042,0.365,0.39,0.354,0.066,7.896313667,0.705010295,56.66548538,0.800495505,0.106598906,0.6536060570000000,0.714645505,0.913339019,0.384666667,0.549375236
Thailand,Southeast Asia,2017,6.4240000000000000,1.128,1.426,0.647,0.58,0.5720000000000000,0.032,9.688437462000000,0.877268732,66.41879272,0.922896802,0.202452391,0.8838167790000000,0.81632179,0.605078816,0.40263636400000000,0.513357759
Togo,Sub-Saharan Africa,2017,3.495,0.305,0.43200000000000000,0.247,0.38,0.19700000000000000,0.096,7.251669884,0.5078052280000000,52.25727463,0.716694415,-0.037704486,0.725519598,0.614188969,0.48495236,0.437333333,0.552189291
Trinidad and Tobago,Latin America and Caribbean,2017,6.168000000000000,1.361,1.38,0.52,0.519,0.325,0.009000000000000000,10.32386494,0.916029036,61.73831177,0.8591404560000000,-0.014604381000000000,0.911336362,0.846467078,0.272540897,,0.415465385
Tunisia,Middle East and North Africa,2017,4.805,1.0070000000000000,0.868,0.613,0.29,0.05,0.087,9.294288635,0.717381597,65.88056183,0.47795665300000000,-0.233531162,0.8688267470000000,0.42096188700000000,0.25082731200000000,0.381,0.41451433300000000
Turkey,Middle East and North Africa,2017,5.5,1.198,1.338,0.638,0.301,0.047,0.1,10.11937332,0.876467824,65.79473114,0.644434214,-0.24692715700000000,0.670910537,0.44980090900000000,0.586161256,0.403076923,0.326897621
Turkmenistan,Commonwealth of Independent States,2017,5.822,1.131,1.493,0.43800000000000000,0.418,0.25,0.259,9.702640533,0.908454895,60.39269257,0.720399201,0.04033754,,0.52088511,,,0.265776634
Uganda,Sub-Saharan Africa,2017,4.081,0.381,1.13,0.218,0.44300000000000000,0.326,0.057,7.442951202000000,0.739956141,51.76347733,0.7723441120000000,0.071719982,0.81577003,0.703375638,0.655109107,0.43325,0.640636981
Ukraine,Commonwealth of Independent States,2017,4.096,0.895,1.395,0.5760000000000000,0.12300000000000000,0.27,0.023,8.967859268,0.858324885,63.17335129,0.598875523,0.016125007,0.936764002,0.597112179,0.11093653,0.266,0.421145946
United Arab Emirates,Middle East and North Africa,2017,6.648,1.626,1.266,0.727,0.608,0.361,0.324,11.12180805,0.83552736,68.5815506,0.962016642,0.191113129,,0.795034885,,,0.600683749
United Kingdom,Western Europe,2017,6.7140000000000000,1.442,1.496,0.805,0.508,0.493,0.265,10.58457565,0.937495291,72.05612946,0.812733293,0.281046003,0.418611348,0.758571804,0.440120846,0.342,0.372231811
United States,North America and ANZ,2017,6.993000000000000,1.546,1.42,0.774,0.506,0.39300000000000000,0.136,10.89986897,0.921002865,69.7709198,0.8684967160000000,0.181657359,0.6811912660000000,0.826555312,0.386535019,0.4068,0.610804379
Uruguay,Latin America and Caribbean,2017,6.454,1.218,1.412,0.7190000000000000,0.579,0.175,0.17800000000000000,9.917771339,0.91380167,68.38036346,0.8978516460000000,-0.104762152,0.626581967,0.835861266,0.413032115,0.4426,0.399903923
Uzbekistan,Commonwealth of Independent States,2017,5.971,0.7860000000000000,1.5490000000000000,0.498,0.6580000000000000,0.41600000000000000,0.247,8.762778282000000,0.942131102,63.16617966,0.985177755,0.11402946,0.464641601,0.8389890790000000,0.9646904470000000,0.348,0.445986152
Venezuela,Latin America and Caribbean,2017,5.25,1.128,1.431,0.617,0.154,0.065,0.064,,,,,,,,,,
Vietnam,Southeast Asia,2017,5.074,0.789,1.2770000000000000,0.652,0.5710000000000000,0.235,0.08800000000000000,8.7426548,,66.24576569,,,,,,0.364285714,0.466430068
Yemen,Middle East and North Africa,2017,3.593,0.5920000000000000,0.935,0.31,0.249,0.10400000000000000,0.057,,0.789555013,54.98103333,0.595190763,,,0.45518189700000000,0.247786984,0.35700000000000000,0.374521881
Zambia,Sub-Saharan Africa,2017,4.514000000000000,0.636,1.003,0.258,0.462,0.25,0.078,8.211669922,0.74375391,53.80378342,0.8231685760000000,0.129821524,0.7395406370000000,0.6846233010000000,0.7170040610000000,0.5274,0.612799227
Zimbabwe,Sub-Saharan Africa,2017,3.875,0.376,1.083,0.19700000000000000,0.336,0.18900000000000000,0.095,7.538187027,0.754147053,52.67448425,0.752826095,-0.06600468600000000,0.751208007,0.8064283730000000,0.682646692,0.43200000000000000,0.581483781
